First Name,Last Name,Email ,High School ,High School Grade Level ,High School GPA,Phone Number,How did you find out about us ,Mentor Token ,password,Teacher Token
John ,Smith,rajsalhotra2+student10@gmail.com,YES Prep Fifth Ward,2022,3.2,17133260317,School,,rokra786,zn8jbz4F
Jill,Smith,rajsalhotra2+student11@gmail.com,YES Prep Fifth Ward,2022,3.1,17133290318,School,,rokra786,zn8jbz4F
Jack,Smith,rajsalhotra2+student12@gmail.com,YES Prep Fifth Ward,2022,3,17133200319,School,,rokra786,zn8jbz4F
Jaime,Smith,rajsalhotra2+student13@gmail.com,YES Prep Fifth Ward,2022,2.9,17133210317,School,,rokra786,zn8jbz4F
Jesus,Smith,rajsalhotra2+student14@gmail.com,YES Prep Fifth Ward,2022,2.8,17133220317,School,,rokra786,zn8jbz4F
Jackson,Smith,rajsalhotra2+student15@gmail.com,YES Prep Fifth Ward,2022,2.7,17133230317,School,,rokra786,zn8jbz4F
Jillian ,Smith,rajsalhotra2+student16@gmail.com,YES Prep Fifth Ward,2022,2.6,17133240317,School,,rokra786,zn8jbz4F
Jessica,Smith,rajsalhotra2+student17@gmail.com,YES Prep Fifth Ward,2022,2.5,17133250317,School,,rokra786,zn8jbz4F
Jesse,Smith,rajsalhotra2+student18@gmail.com,YES Prep Fifth Ward,2022,2.4,17139260317,School,,rokra786,zn8jbz4F
Jahiria,Smith,rajsalhotra2+student19@gmail.com,YES Prep Fifth Ward,2022,2.3,17133270317,School,,rokra786,zn8jbz4F
